municipio,lluvia
Adjuntas,25.9
Aguada,12.1
Aguadilla,9.7
Aguas Buenas,17.9
Aibonito,27.7
Añasco,10.9
Arecibo,9.1
Arroyo,27.4
Barceloneta,7.4
Barranquitas,26.6
Bayamón,15.7
Cabo Rojo,17.3
Caguas,26.1
Camuy,7.7
Canóvanas,22.6
Carolina,15.3
Cataño,10.8
Cayey,27.2
Ceiba,22.2
Ciales,31.3
Cidra,21.3
Coamo,28.3
Comerío,16.3
Corozal,16.6
Culebra,9.9
Dorado,13.2
Fajardo,18.8
Florida,10
Guánica,12.3
Guayama,29.5
Guayanilla,25.4
Guaynabo,15.1
Gurabo,16.5
Hatillo,8.1
Hormigueros,15.5
Humacao,20.7
Isabela,8
Jayuya,29.7
Juana Díaz,30.3
Juncos,19.4
Lajas,17.4
Lares,12.2
Las Marías,10
Las Piedras,21
Loíza,10.4
Luquillo,18.3
Manatí,9.5
Maricao,18
Maunabo,25.3
Mayagüez,14
Moca,9
Morovis,16.6
Naguabo,23.7
Naranjito,15.3
Orocovis,27.3
Patillas,28.5
Peñuelas,27.1
Ponce,29.7
Quebradillas,7.5
Rincón,13.8
Río Grande,23.5
Sabana Grande,16.6
Salinas,28.6
San Germán,16.1
San Juan,13.2
San Lorenzo,27.4
San Sebastián,8.2
Santa Isabel,26.5
Toa Alta,14.5
Toa Baja,12.8
Trujillo Alto,11.9
Utuado,23.1
Vega Alta,12.4
Vega Baja,10.7
Vieques,15.1
Villalba,25.4
Yabucoa,27
Yauco,23.2
